Index,sentence_ko,sentence_en,topic_label,emotion
127,야 정신승리 그만들해라~ 계엄령 조항 찾아봐~ 선포 후 문서 국회로 보냈고 / 국회에서 해지 가결 됐지!,"Hey, stop with the delusional coping—look up the martial law clause—it was declared, sent to the Assembly, and the Assembly voted to lift it!",Others,disgust
128,그 해지안을 국무회의를 통해 심의를 거쳐야한다고 모지리들아~~ 이걸 계산 안했겠냐!,"The Assembly’s repeal must go through Cabinet review, you idiots—did you think they didn’t factor that in?",Others,approval
129,국무회의를 안열지!,They’re not even opening the Cabinet meeting!,Others,disgust
130,그럼 민주당은 윤석열 탄핵을 가겠지,Then the Democratic Party will go for Yoon’s impeachment.,People,amusement
131,근데 계엄대장이 안보실장 김태오 란다.,"But apparently the martial law commander is Kim Tae-oh, the national security chief.",North Korea,annoyance
132,다 계산했디고~ 방송 다 켜있는데 무력으로 군인들이 잡겠냐!,"They thought this through—every broadcast is still live, you think the military’s going to storm in with force?",Others,surprise
133,곧 언론통제 들갈꺼야~ 그리고 진압 들가겠지~ 생각 좀 해봐,Media control is coming soon—then they’ll start the crackdown—use your brain.,Venting,disapproval
134,무슨 논리로 막을껀데.,What logic do you think can stop this?,Venting,excitement
135,이미 끝장났어.,It’s already game over.,Venting,joy
136,술처마시고 얼굴 벌개가지고 ㅉㅉㅉ,"Drunk, red-faced... tsk tsk.",Venting,disapproval
137,댓글 봐라 이러니 계엄이 선포되는거야,Look at the comments—this is why martial law was declared.,Others,disapproval
138,이제멍이를 제거해라,Get rid of Jjaemyung now.,People,fear
139,영화를 너무 봤네 ㅋㅋㅋㅋㅋㅋㅋ,"Watched too many movies, lolololol.",Venting,fear
140,장난하냐?,You think this is a joke?,Venting,disapproval
141,비성계엄이 맞다고 대통령실에서 겅식적인 답변인거냐?,Are you saying the presidential office officially claimed this is a legitimate martial law?,Others,annoyance
142,국민들 상대로 장난줄 지핀 대가는 치뤄야할즛 옹호하는 사람들 모두,Everyone defending this mess owes the people for playing with their trust.,Venting,amusement
143,아싸!!!,Hell yeah!!!,Venting,approval
144,이제야 좀 살만해지겄네!!!,"Finally, things are starting to feel livable again!!!",People,approval
145,백번 국내 정치갈등상황을 대통령님 입장을 헤아려 이해 한다 해도..,Even if I try to sympathize with the President’s position over internal political conflict a hundred times…,People,anger
146,이번 계엄령은 선을 넘은 것이라 생각 됩니다.,This martial law crossed the line.,Others,amusement
147,어찌 상황에 수습 되어 갈지 진심 걱정이 됩니다,Truly worried about how this situation is going to be resolved.,Venting,disgust
148,환율도 처 올려서 더 빨리 외인들 빠지겠네!!,Now they’re tanking the won—foreign investors will bail even faster!!,Politics & Economics,anger
149,갑자기 비상계엄 할 수도 있는 나라에 누가 투자 하겠냐,Who would invest in a country that might suddenly declare martial law?,Others,annoyance
150,이건 뭐 북한 리스크보다 더 크네,This is worse than the North Korea risk.,North Korea,disapproval
151,석열아 일본가서 살겠네 ㅋㅋ,"Seok-yeol’s probably gonna move to Japan, lol.",People,neutral
152,터질게 터졌다.,The explosion was inevitable.,Venting,anger
153,적극 지지한다.,I fully support this.,People,annoyance
154,국방부장관이 쿠테타 성격의 계엄을 주도했다면 사형 아닌가?,"If the defense minister led a coup-like martial law, shouldn’t that be punishable by death?",Others,disapproval
155,진짜 비상계엄 하에 체포 시작하면 제일 먼저 잡혀갈 놈들이 제일 악다구니를 쓰네 ㅋㅋㅋ,"The ones who'd get arrested first under real martial law are the loudest right now, lol.",Others,anger
156,정신병자 대통령 놀이도 이제 끝이다,The lunatic president roleplay ends here.,People,amusement
157,아니 겁나 멍청한게..,"God, how stupid can you be...",Venting,disapproval
158,국회에서 안도와줘서 일을 못하겠으면 안하면 됨.,"If you can’t do your job because the National Assembly won’t help, then just don’t do it.",Others,disappointment
159,"정치력이 있어서 모두 포용하고 줄거 주고 받고 해서 국회랑 사이좋게 가면 좋겠지만, 설사 안된다고 해도 안도와줘도 그냥 일 안하면 됨.","Sure, if you had political skill, you'd negotiate and work with the Assembly, but even if you can't, just don’t do anything—don’t make it worse.",Others,curiosity
160,무능을 가지고 뭐라고 하지는 않고 사법 처리 대상도 아님..,Being incompetent isn’t a crime. No one was going to prosecute you for that.,Politics & Economics,anger
161,근데 왜 멍청하게 계엄 선포를 하고..,So why the hell would you stupidly declare martial law?,Others,annoyance
162,"그냥 가만히 아무 것도 안하고 있으면 욕은 먹을 지언정 끌려 내려오지는 않을텐데, 자기 무덤을 파고 있나.","If you just sat there doing nothing, you’d get criticized but you wouldn’t get dragged down like this. Digging your own grave.",People,annoyance
163,지 하나 죽음 상관없는데 보수 앞으로 10년간 뽑히겠나.,"You might not care about your own downfall, but no conservative is getting elected for the next ten years now.",People,annoyance
164,빨리 출당 시켜야 함.,Kick him out of the party immediately.,Punishment,anger
165,민주당 의원을 죄파로 규정하고 의결 못하게 전부 잡아가겠지~~!!,They’ll label all Democratic Party lawmakers as leftist criminals and round them up~~!!,Politics & Economics,disapproval
166,국짐당것들은 입이 없나?,Don’t the PPP folks have mouths?,Venting,disapproval
167,참 답이 없는 사람이다!,"Seriously, he’s hopeless!",Venting,confusion
168,"야당 폭주를 알리려고 했으면 기자회견에서 그 부분만 이야기하면 되지, 계엄령은 왜 선포하나?!","If you just wanted to call out the opposition’s rampage, say that in a press conference. Why declare martial law?!",Others,curiosity
169,그렇게라도 자존심을 지키고 싶냐?!,You really want to keep your pride that badly?!,Venting,disgust
170,"한심..,ㅉ",Pathetic... tsk.,Venting,annoyance
171,세훈아 아직도 정신 못차리나?,"Sehoon, are you still not thinking straight?",Venting,neutral
172,니 앞가림이나 잘 해라,Worry about your own mess first.,Venting,curiosity
173,내란죄의 수괴를 체포하라,Arrest the ringleader of this treason.,Punishment,anger
175,윤은 할말없지.,Yoon has nothing to say.,People,confusion
176,자업자득,You reap what you sow.,People,amusement
177,이시국에 17%대통령이 비상계엄이라니..,"In this situation, a 17% approval president declares martial law...?",Others,anger
178,전세계가 대한민국을 어떻게 볼지..,How is the world going to see Korea now?,North Korea,gratitude
179,이인간은 즉시 끌어내서 사회와겪리해야해~,This man needs to be dragged out and quarantined from society immediately.,Punishment,neutral
180,큰 명분을 주셔서 감사드립니다.,Thanks for giving us such a massive justification.,Punishment,annoyance
181,대통령님께,To the President—,People,optimism
182,지금 24년 맞지?,"It’s 2024, right?",Venting,curiosity
183,짜증나게 하지마라,Don’t piss people off.,People,amusement
184,미치다 미치다~~~막가네요~~~~,"Losing his mind, completely out of control now~~~",Venting,curiosity
185,누구때메 이사단인데 말문이 막히네요,Who caused all this mess anyway? I’m speechless.,Venting,disapproval
186,ㅋㅋㅋㅋㅋㅋ 탄핵당하기 두려운가보네,"Lolol scared of getting impeached, huh?",Punishment,nervousness
187,지지자도없는 최악의 대통령 주제에,You’re the worst president ever and don’t even have supporters.,People,nervousness
188,고맙다!,Thanks!,Others,approval
189,용현아! ㄱ!,"Yonghyun, go!",People,disgust
190,여기 돌팍색 추가요,Add this lunatic to the list here.,Venting,neutral
191,대표님은 대한민국 보수의 유일한 희망입니다.,"You are the only hope for Korean conservatives, Representative.",North Korea,neutral
194,국민 80%가 종북 불순분자냐.,So 80% of the people are pro-North traitors now?,North Korea,curiosity
195,지나가던 개가웃는다.,Even a passing dog would laugh.,Venting,anger
196,미친것 아닌가요?,Is he insane?,Venting,gratitude
199,김건희 대통령의 마지막 몸부림,This is First Lady Kim Keon-hee’s final death spasm.,People,amusement
201,심각한가 봅니다,Seems really serious.,Venting,anger
202,ㆍ전쟁은 일어나지 않아야겠습니다,Let’s hope no war breaks out.,Others,anger
203,ㆍ대통령님 이 선택을 지지합니다,"Mr. President, I support this decision.",People,anger
204,국회 범죄자 소굴,The National Assembly is a den of criminals.,Others,anger
205,그럴.,That could…,Venting,amusement
206,수 있어요,…happen.,Venting,neutral
208,윤석열.,Yoon Seok-yeol.,People,curiosity
209,교도소가겠구만,You're headed to prison.,Punishment,annoyance
210,", , , 왜그랬니 !",Why… did you do it!,Venting,curiosity
211,광주는 폭동인가요??,Is Gwangju a riot in your eyes??,People,fear
212,잘 하셨어요,Good job.,Others,annoyance
213,종북좌파들 전부 척결,Wipe out all the pro-North leftists.,North Korea,neutral
214,뭘해도 이렇게 어설프냐~~~이제내려오자,Why are you this sloppy with everything you do~~~ just step down already.,People,neutral
215,와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Wow lolololololololololol.,Venting,neutral
216,댓글봐라!!!!!,Look at the comments!!!!!,Venting,disapproval
217,국민들 열받았다!!!!,The people are furious!!!!,Venting,disapproval
218,이죄명이 더싫다 무섭다 대통될까,I hate Jae-myung even more. I'm terrified he might become president.,People,disapproval
219,콩밥,Prison food.,Punishment,anger
221,입다물고 있어라,Shut your mouth.,People,amusement
222,어차피 이런수순인거 윤석열도 알거고 윤석열이 쇼한거에요 ㅋㅋ ..,"Yoon knew this was all part of the plan—this was just a show he staged, lol...",People,caring
223,군인들도 어째 연기하는듯 하더만,Even the soldiers seemed like they were acting.,Others,annoyance
225,밤11시에 탱크가 왠말 ㅋㅋㅋ지인이 보낸사진보고 합성인줄알았짜나 !!!,"Tanks at 11 p.m., really? I saw a photo from a friend and thought it was fake!!!",Venting,annoyance
226,헬기는어떻고 !!!!???,What about the helicopters?!!!,Others,anger
227,늦은밤에 전쟁 난줄알았따는데.... 날밤꼬박세서 출근준비한다는 지인은 뭔죄지??,Some thought it was war breaking out in the middle of the night… friends pulled an all-nighter and still had to go to work—what did they do to deserve that??,Others,admiration
228,서울에서 산죄인가????,Is their crime living in Seoul????,North Korea,caring
229,지금 계엄사태를 보기전에 국민들아 현국회가 이재명국회가 된것부터봐라 계엄령보다 더 한짓을 하고있다 민노총이며 북간첩이며 온통 한국을 손안에서 휘둘리고있다,"Before you freak out over martial law, realize this: the current Assembly already became Jae-myung’s playground. They’ve done worse than martial law. The KCTU, North Korean spies—they’re controlling Korea from the inside.",North Korea,anger
230,역대급 반푼이 칠푼이 팔푼이를 대통령이라고 ...,"We’ve got the dumbest, most clownish president in history…",People,anger
231,죽으려니 무슨 짓인들 못하겠냐.,"When you’re desperate to die, there’s nothing you won’t try.",People,disapproval
232,석렬아.,Seok-yeol.,People,anger
233,다 끝났다.,It’s over.,Venting,anger
234,용현아 아웃이네,"Yonghyun, you’re out.",People,annoyance
235,잘가 멀리 안나간다 ㅉㅉ,"Goodbye—you’re not going far, tsk tsk.",Venting,confusion
236,한동훈 OUT.,Han Dong-hoon OUT.,People,anger
237,대통령을버린미친여당대표 민주당간첩인가?,The insane party leader who betrayed the president—is he a Democratic Party spy?,Politics & Economics,anger
238,왜저래,What’s wrong with him?,Venting,anger
239,잔뜩 쫄아서 ㅋ,"He’s scared shitless, lol.",Venting,anger
240,님아 침몰하는 배에 올라타지 마시오,"Hey man, don’t jump on a sinking ship.",People,fear
241,"충암고에서 시국선언하고 야들하고 인연을 끊어야지,,,",Chungam High should make a political statement and cut ties with those guys…,North Korea,annoyance
242,빨 리 움직이세요!,Move fast!,People,anger
243,진짜 미쳤네.,This is really insane.,Venting,approval
244,민주좌파 찢재명 무리들을 척결하자 화이팅,Let’s wipe out Lee Jae-myung’s leftist mob once and for all—fighting!,People,annoyance
245,윤대통령 처음으로 너무 잘했다~,"President Yoon, you nailed it for once!",People,anger
246,지지합니다!,I support you!,People,anger
247,종북세력들 척결하려면 강하게 나가야한다,"To root out the pro-North forces, you have to hit hard.",North Korea,amusement
248,이놈아 너는 의리 지켰어야지.,"You should’ve stayed loyal, you bastard.",People,confusion
249,도리를 모르는놈이 뭐하겠다고,What’s a guy who doesn’t even know honor trying to do?,Venting,curiosity
250,넌 총살형 준비하고 있어..,Get ready for a firing squad.,Others,surprise
252,반역 매국노들국짐은 원래 반성과 책임을 모른다.,The traitorous sellouts in PPP have never known reflection or responsibility.,North Korea,neutral
253,어제 100분 토론만 봐도 틈만 나면 계엄령을 두둔하려 하고 꼬투리 잡고 늘어지려고만 했다.,"Even on last night’s debate, all they did was defend martial law and nitpick everything.",Others,curiosity
254,어째 하는짓이 이순신 장군님이 왜놈들한테 하신 말씀과 똑같냐?,Why do your actions sound just like what Admiral Yi Sun-sin said about the Japanese?,People,annoyance
255,"“왜는 간사하기 짝이 없어, 신의를 지켰다는 말을 들은적이 없다“ 잠깐 국민을 위하는척 할 수 있지만 결정적인 순간에 본인들의 안위를 위해 국민들을 배신함.","“They are endlessly deceitful and have never been known to keep their word.”  They pretend to care about the people but in the end, they’ll always betray us to protect themselves.",North Korea,anger
256,니가 여기서 왜나와?! ㅉㅉ,What the hell are you doing here?!,Venting,anger
257,우리가 알아서 할테니 걍~~ 넌 빵으로가!! ㅉㅉㅉ,We’ll handle this—just go rot in prison!!,Punishment,disgust
258,여차하면 대모하는 국민들 다 학살하려했다!!!!,"If it came to it, they were ready to massacre protesting citizens!!!!",Others,anger
259,위험한 s b n들 그냥 사라져라!!!!,Those dangerous S.B.Ns—just disappear already!!!!,North Korea,anger
260,혼자 잘해봐.,"Go ahead, do it all by yourself.",People,anger
261,빠가야로야,You idiot.,Venting,anger
262,맞는 말이고 이걸 계기로 해서 헌법 뜯어고쳐야 한다,He’s right—this should be a trigger to rewrite the Constitution.,Others,anger
263,모지리하나땜에 온나라 군과 경찰이 혹시모를 북에 대비해서 비상태세네 정말 짜증난다,"Because of one dumbass, the entire military and police are on alert in case North Korea makes a move. This is so damn annoying.",North Korea,surprise
264,아니 이것들이 지금 세상이 무슨 쌍팔년도도 아니고...,What the hell—this isn’t the 1980s…,Venting,neutral
265,하나회 같은 사조직 만들기 전에 싹을 모조리 잘라내자,"Before they form some cult group like the old Hanahoe, cut this all off at the root.",North Korea,approval
266,대단한 대통령이다,What a president.,People,curiosity
267,조금의 상식이 없다 무지한건가?,He has zero common sense—is it ignorance?,Venting,anger
268,아님 마지막 발악인가?,Or is this his last desperate outburst?,Venting,curiosity
269,지금시대에 이런 발상을 하다니 내일 아침이면 정신 차릴건가,Can’t believe someone could think like this in this day and age—maybe he’ll come to his senses by morning?,Venting,curiosity
270,똥꼬 빨아서 머좀 얻어 먹을라다가 그대로 싼똥을 먹게됏네.,You tried to suck up and get some scraps—and ended up swallowing the whole pile of shit instead.,People,neutral
271,잘가슈.,Goodbye.,People,annoyance
272,요즘 시대에 저런 사람이 시의원이라니 부산도 문제가 많구만,Someone like that being a city council member in this day and age? Busan’s got real issues.,Others,anger
273,너나 쫌!!,Look at yourself first!!,People,disgust
275,뭐여,What the hell is this?,Venting,anger
276,아다 ㄱ 해라!!,Shut your damn mouth!!,People,disappointment
277,정 .신병자 야!!,You’re a mental case!!,Venting,fear
278,이 놈도 체포해라.,Arrest this bastard too.,Punishment,anger
279,국민이 힘들게 쌓아올린 민주주의를 무너뜨린자 그자에게 내란죄를 물어야 된다,Charge the one who destroyed the democracy that the people built with so much effort with treason.,Punishment,anger
280,야 니들이 반국가 세력이겠지 웃겨 국짐당니들 잘 생각해라,"Hey, maybe *you* guys are the anti-state forces—PPP, think about what you're doing.",North Korea,anger
281,국민을 대신 해 일하라고 뽑았더니 자기하고 싶은데로하는게 리더인가?,"We elected you to serve the people, not do whatever the hell you want—how is that leadership?",People,annoyance
282,기사좀공유하려는데 갑자기기사공유가 안되요?,I was trying to share this article but suddenly I can't—what the hell?,Venting,surprise
